uuid,Source EN,Fallback EN
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,location,zip
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,jobtype,hours
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,contact_name,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,branch,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,career,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,functiongroup,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,country,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,salary,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,salary,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,salary,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,apply_method,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,vacancy_language,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,tags,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,salary_period,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,salary_currency,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,template,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,template,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,,
09f8dc43-34f2-5bf5-ba8a-e92d073bf4fc,,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,location,zip
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,jobtype,hours
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,contact_name,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,branch,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,career,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,functiongroup,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,country,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,salary,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,salary,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,salary,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,apply_method,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,vacancy_language,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,tags,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,salary_period,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,salary_currency,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,template,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,template,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,,
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,,
c7fbade7-7faf-5325-8df1-b39a83a935e9,contact_email,contact_name
c7fbade7-7faf-5325-8df1-b39a83a935e9,hours,jobtype
c7fbade7-7faf-5325-8df1-b39a83a935e9,hours,jobtype
c7fbade7-7faf-5325-8df1-b39a83a935e9,career,experience
c7fbade7-7faf-5325-8df1-b39a83a935e9,functiongroup,title
c7fbade7-7faf-5325-8df1-b39a83a935e9,education,title
c7fbade7-7faf-5325-8df1-b39a83a935e9,title,title_alt
c7fbade7-7faf-5325-8df1-b39a83a935e9,country,location
c7fbade7-7faf-5325-8df1-b39a83a935e9,zip,location
c7fbade7-7faf-5325-8df1-b39a83a935e9,branch,client
c7fbade7-7faf-5325-8df1-b39a83a935e9,contract,
c7fbade7-7faf-5325-8df1-b39a83a935e9,apply_method,
c7fbade7-7faf-5325-8df1-b39a83a935e9,upsell,
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,contact_email,contact_name
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,hours,jobtype
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,hours,jobtype
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,career,experience
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,functiongroup,title
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,education,title
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,title,title_alt
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,country,location
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,zip,location
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,branch,client
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,contract,
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,apply_method,
2b48a7c0-d383-5bf9-9ef2-5e7d1b876fc4,upsell,
289ce070-4785-56da-9c72-e468aa9e90e4,contact_email,contact_name
289ce070-4785-56da-9c72-e468aa9e90e4,hours,jobtype
289ce070-4785-56da-9c72-e468aa9e90e4,hours,jobtype
289ce070-4785-56da-9c72-e468aa9e90e4,career,experience
289ce070-4785-56da-9c72-e468aa9e90e4,functiongroup,title
289ce070-4785-56da-9c72-e468aa9e90e4,education,title
289ce070-4785-56da-9c72-e468aa9e90e4,title,title_alt
289ce070-4785-56da-9c72-e468aa9e90e4,country,location
289ce070-4785-56da-9c72-e468aa9e90e4,zip,location
289ce070-4785-56da-9c72-e468aa9e90e4,branch,client
289ce070-4785-56da-9c72-e468aa9e90e4,contract,
289ce070-4785-56da-9c72-e468aa9e90e4,apply_method,
289ce070-4785-56da-9c72-e468aa9e90e4,upsell,
258845f6-a55d-5d37-be4f-828f9bf0b74d,contact_email,contact_name
258845f6-a55d-5d37-be4f-828f9bf0b74d,hours,jobtype
258845f6-a55d-5d37-be4f-828f9bf0b74d,hours,jobtype
258845f6-a55d-5d37-be4f-828f9bf0b74d,career,experience
258845f6-a55d-5d37-be4f-828f9bf0b74d,functiongroup,title
258845f6-a55d-5d37-be4f-828f9bf0b74d,education,title
258845f6-a55d-5d37-be4f-828f9bf0b74d,title,title_alt
258845f6-a55d-5d37-be4f-828f9bf0b74d,country,location
258845f6-a55d-5d37-be4f-828f9bf0b74d,zip,location
258845f6-a55d-5d37-be4f-828f9bf0b74d,branch,client
258845f6-a55d-5d37-be4f-828f9bf0b74d,contract,
258845f6-a55d-5d37-be4f-828f9bf0b74d,apply_method,
258845f6-a55d-5d37-be4f-828f9bf0b74d,upsell,
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,contact_email,contact_name
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,hours,jobtype
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,hours,jobtype
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,career,experience
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,functiongroup,title
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,education,title
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,title,title_alt
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,country,location
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,zip,location
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,branch,client
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,contract,
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,apply_method,
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,upsell,
f108f792-87dc-50bc-9b53-34e554f604b9,contact_email,contact_name
