Uuid__c,Status_desq__c,Remarks__c
e1b3b759-ba47-57a5-aeab-0452e3130f6d,In-active,
73204450-3c56-5fee-a91d-0a43a222c3a6,In-active,"14-05-21 SF Blacklisted, because they can not facilitate our URL"
6b1048fc-8fc6-5d38-beb8-cd228ba5109a,In-active,"6/4/17 GD: weinig ingezet, lage kortingen, moeten bulk inkopen"
58f82442-c2ba-50cc-85ae-7c1623648a52,In-active,
48e1a135-272f-56d9-90e1-e101e07930ab,In-active,
dc2188c5-d12a-5015-ae0d-a56b5d511492,In-active,
0b3a1a74-6f8d-5c77-b4d2-f1f5846ccab8,In-active,
f8987532-80ff-5cf8-824f-601427d609dd,In-active,"SF 22-03-21: Blacklisted so far, because they were not replying."
4179829c-0486-54f4-8ded-61cffe5ed58f,In-active,"SF 22-03-21: Blacklisted so far, because they were not replying."
f5bbf50e-1045-5eb3-b052-8fc01c06c0c7,In-active,"SF 22-03-21: Blacklisted so far, because they were not replying."
f66221a7-6025-564d-b0c1-1ddc3699145a,In-active,
9a2c1973-7b9e-58f4-9dce-cf81e53b6389,In-active,
e46519c9-56b0-53fb-9e2d-993be5fc2135,In-active,
c69cedc2-dbd2-554e-899f-4978f849438d,In-active,
f6506bf1-321f-50c4-85b3-242f81e7a556,In-active,23-05-2019 RvR: Groenneffect wordt doorgeleid naar het Biind-platform. Dit product mag dus uitgezet worden volgend Edwin.
8fcf20b6-98c7-521f-9428-e46267436257,In-active,LP 14052018 Site bestaat niet langer!
5176069d-30de-54c8-804e-c9053d77087d,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
c399eeae-a8ed-5438-a11c-827d97885fc0,In-active,LP 06082018 OPS krijgt CP niet te pakken en kunnen niet plaatsen
c0dc7245-e319-501b-80ca-a41098c63207,In-active,
02681ef2-0e48-5c83-86a3-89630499f1fc,In-active,"18-12-2017 RN: ""Decommissioned in September"" , is now careerbuilder.com"
6bc9d294-8aa0-5295-aaa8-a3f94e5a222f,In-active,22-6-2018 RvR: Johan meldt dat ze stoppen met WJ vanwege de slechte prestaties
8de7cd4f-4dbe-543b-bd0a-d95f0fc67a2f,In-active,LP 01082018 Credits zijn weggehaald
bb78b541-eb60-5890-80ca-925696c37460,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zettehm vanaf vandaag uit."
d2eeff27-3c2c-538b-8170-186c05c819d3,In-active,"16-11-2018 RVR: In samenspraak met OPS loopt het plaatsen nog steeds niet goed en de communicatie ook. Geen stabiel produkt, dus we zetten het vanaf vandaag uit."
78954039-7f7f-5809-b73b-073f98efbb71,In-active,
5d052d57-715b-5cfa-9771-b6023a200c19,In-active,26-10-2017 RN: vacature gedeelte bestaat niet meer
ae7a2e79-225e-5d02-820f-e1af83325ed8,In-active,LP 9/5 ivm overgang Programmatic
0a4c5240-a1a1-5cb3-949b-08de66a075a4,In-active,"LP 08012019 Overgang naar nieuwe site Carriere.nu gaat niet goed, totdat alle problemen zijn opgelost zijn alle websites van Vakmedianet BL"
d1a7ccf6-01f2-568c-9dae-9af5460fbe07,In-active,1-1-2018 LP Opschoningsactie
85ac33ba-0926-5ead-82a6-c463f5629aa5,In-active,RN 24-10-17: nu alleen nog doorplaatsing vanaf de regio vacaturebank sites
2b9e8b03-cc2a-57d3-9074-cf6070131244,In-active,Onderdeel van Exenzo. Heeft geen toegevoegde waarde voor hun portfolio.
66ec658c-a585-57c6-817a-4f86d82595b0,In-active,
069a67e2-390d-5ea0-b903-07343a4efda8,In-active,LP 9/5 ivm overgang programmatic
524a7717-87e0-5dc2-ad78-e69d875db3d6,In-active,
7757410f-8275-51f6-8bc6-95d8ba500bbb,In-active,
53465948-65fd-5b38-a558-3bc7b5c33751,In-active,
fb514c52-72fe-5f5c-8f31-f14a6f58db4a,In-active,LT 31-05-2019: Exenzo biedt dit kanaal niet meer aan.
b9089844-a89b-519b-be11-7589191f4d09,In-active,1-1-2018 LP Opschoningsactie
d4ef4c29-bb54-5ace-b113-ef6c6354fa66,In-active,13/7 LP De site bestaat niet langer
6d821340-10b0-5757-8e47-9b3c1aa5946a,In-active,LP 9/5 ivm overgang Programmatic
05e44ab6-e764-5dce-ae80-a48bb6f5ce9e,In-active,LP 9/5 ivm overgang Programmatic
b15c1adf-a65d-5a64-bb5a-b00e05d6127d,In-active,"LP 15-09-2017: Vanaf 1 oktober wordt de standaard met Refresh, maar dit gaat door op code 1"
7b83f102-4312-59d9-b2b1-2ef724a51f1e,In-active,"29042019 RvR: Carreerbuilder: ""al een aantal jaar geleden opgeheven"""
82dc9f0f-5aaa-5662-ab7f-7af4a2fa865f,In-active,"LP 19122018 Is een doorplaatsing vanuit Gemeentebanen, dus dit kanaal kun je hiervoor inzetten"
e6a39401-0a7c-5f55-a8c9-2dd5b223caff,In-active,"LP 21092018 We kunnen hier alleen plaatsen als we vooruitbetalen, iom Finance de site om deze reden op BL gezet"
fe4c7d5a-71d4-5dcc-9f8f-3e57d101c760,In-active,LT 14-06-2019 - Niet in contract K̦nigsteiner - gebruik product 2065 en 3033
331afc44-4e70-50b7-8725-e60dcce4e692,In-active,"26-4-2019, blacklisted. Geen vacatures, Roderick neemt contact op. CVDB"
babd688f-359f-51a8-9cc5-5035beb48ec6,In-active,"LT: 30.04.2019 Blacklist: Per 1 april jl. is ons bedrijf overgenomen, helaas hoort TuinbouwJobs daar niet bij. Roderick neemt contact op met nieuwe eigenaar - op dit moment is plaatsing niet mogelijk"
0342dffd-42e5-508b-8e98-54286a4d7f3d,In-active,29042019 RVR: Site wordt niet meer actief bijgehouden.
26dd5de5-78a4-5c44-8f86-a881e7561963,In-active,LP 7/11 deze leverancier wil niet langer zaken doen met Vonq
204af6fc-1e2d-539d-8e7b-b99d44fe1969,In-active,LP 23102018 Site bestaat niet langer
c6e34c83-1665-592a-9f91-94ee0255f715,In-active,19-12-2017: Er kan niet met URL geplaatst worden
7b8e9d2c-8d6d-5370-bcbc-947936939cb4,In-active,LP 27072018 Site is uit de lucht en de leverancier heeft aangegeven dat dit minimaal een paar maanden gaat duren
90ddd26d-3cd2-5364-9864-819cb22378bd,In-active,RN 22/9/17 Geen afspraken mee gemaakt voor dit product
d80fb2c3-c5aa-5815-86bc-bf427c285ac4,In-active,5-10-2017 RN De site heeft onderaan de vacature een eigen sollicitatie formulier. Hier moeten wij een E-Mail adres direct van de klant voor gebruiken (no-reply@has-jobs.com werkt niet). Het formulier kan niet disabled worden van de site.
b22e8d63-b718-58f1-8a09-c1bc05aa9642,In-active,LP 31/8 The credits with this website expired after several internal actions to spent them. Because of this reason we did not extend our agreement with this website.
c4475abd-ff72-59cf-8f14-2859f38564e1,In-active,"8-11-2017 RN: deze site wordt niet meer actief in het JMP aangeboden, vanwege concurrentie tussen Vonq en wonderkind"
9ca79cdd-e329-5141-a293-f67e8c604cfb,In-active,"LP 08012019 Site wordt te weinig ingezet, om deze reden besloten deze website te deactiveren in het portfolio en geen nieuwe afspraken te maken"
deaf9b4f-76c7-5442-832b-38af51702816,In-active,Ingekocht via Jobstreet zelf - ALLEEN INZETTEN VOOR EXACT
9021c411-2ae9-5b63-a18b-54e615bbf39a,In-active,"LP 22-8-2017 De vacatures worden niet stop gezet en automatisch tegen betaling verlengd, dit kunnen we niet afstemmen met de partij!"
2599a228-709c-535c-b32e-1f438c462091,In-active,1-1-2018 LP Opschoningsactie
253e5c6a-ee17-57f0-81a9-bf9cffa8c745,In-active,"LP 21/7 De standaard posting werd bijna niet ingezet en de premium variant wel, om deze reden er voor gekozen dat we de standaard posting uitzetten"
3a658ba4-570f-5046-8cd9-d1ac1e1020dd,In-active,
5a0ae354-aa5e-5c5f-982d-4bb7d225df9f,In-active,LT 19042019 Kanaal is uit portfolio Exenzo
