Uuid__c,Status_desq__c,Remarks__c
25cb0233-dc76-5210-bb01-6e25469b88b0,Active,"RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.

28022020 LT Uit JMP iov OPS- product is geen vacatureplaatsing maar kan alleen geboekt worden na de premium plaatsing - is een add-on"
c7fbade7-7faf-5325-8df1-b39a83a935e9,Active,RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.
c7600ac4-b08e-5a55-a7f3-1cc70c8912d8,Active,RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.
f108f792-87dc-50bc-9b53-34e554f604b9,Active,RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.
1aaf31dc-7cb9-53f5-853f-04d3d5b9033f,Active,Blacklisted till new PA
35d64189-d49f-50a7-913e-8aa9e70ef093,Active,29-04-20 SF Blacklisted due to the absence of the PA
122fff14-65e6-5fb5-b454-555c130cb356,Active,"SF 29-04 Blacklisted, because they did not post our job (too niche)"
99ea3228-2790-5215-9c27-b78f6d47735a,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
71bd7171-1884-5cd8-a27d-72c5061edc91,Active,No RC to be found
d2f31a3e-cc0f-5a03-9f25-83601d868c8c,Active,LT 23-05-2019: Niet in JMP - alleen te boeken voor klant Shell
e03fec7b-c71b-580a-ab56-2a473b7000de,Active,RVR 9-9-2020: Konigsteiner mentioned this job board has been bought by JobsNRW.de and they are going to take down the Jobsniederrhein website soon.
382af82a-7f42-5f32-a866-a79a4e040623,Active,LT 28-06-2019: Factuur in dollars / No RC to be found
29d262b8-799d-50fa-b929-d900fc3b7ce2,Active,No RC to be found
edcb866c-f049-57ef-8ae4-cb68c63746bc,Active,This product will be activated until further notice.
de54a982-1c9c-592a-a33c-2b2f15a58376,Active,"15-03-21 SF: Blacklisted

New active product: https://vonq.lightning.force.com/lightning/r/Product2/01t08000008qhXVAAY/view"
19f0f2ee-3024-5b67-8ed4-f78ed9142a20,Active,"LT 21-06-2019 RC=$199,- Inkoop=$169,15"
fb947f74-b04d-54f6-8346-f198bb816303,Active,October 5 2020: Not selling job ads anymore.
50dd150f-9266-5114-858b-fa1d24c4f9fb,Active,RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.
484fc8b0-0562-54d2-b271-f627375e2111,Active,11072019 LT: RC = HUF 69900 - Inkoop = HUF 59415
d8435260-ece5-575b-aaa5-a57d9377d7e5,Active,"09072019 LT: RC is INR 5000 en de inkoopprijs INR 4250
EH 25-05-21: Blacklisted as they changed their terms and refuse to post on the old terms. Now they dont want to give discount and require upfront payment."
